Rk,Name,S,C,F,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,Name-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
39,Brian Bohanon,-,-,F,3,1999,2001,0,29,30,.492,5.82,87,78,0,5,2,0,471.1,544,326,305,74,218,8,265,27,0,10,2131,98,bohanbr01
40,Kent Bottenfield,-,-,-,2,1993,1994,0,6,6,.500,6.04,29,15,3,1,0,1,101.1,114,69,68,14,48,1,45,3,0,2,449,80,botteke01
41,Ben Bowden,S,C,F,1,2021,2021,0,3,2,.600,6.56,39,0,9,0,0,0,35.2,44,30,26,6,21,2,42,1,0,1,177,74,bowdebe01
42,Cedrick Bowers,S,-,-,1,2008,2008,0,0,0,,13.50,5,0,3,0,0,0,6.2,11,10,10,2,5,0,5,1,0,1,33,36,bowerce01
43,Micah Bowie,-,-,F,1,2008,2008,0,0,1,.000,9.00,10,0,1,0,0,0,8.0,11,8,8,1,3,0,5,1,0,0,38,54,bowiemi01
44,Rex Brothers,S,-,-,5,2011,2015,0,16,11,.593,3.42,286,0,72,0,0,20,242.1,221,103,92,21,140,11,278,3,5,16,1067,132,brothre01
45,Brooks Brown,S,C,F,2,2014,2015,0,1,4,.200,3.97,64,0,16,0,0,0,59.0,52,27,26,5,21,1,41,2,0,3,251,114,brownbr02
46,Mark Brownson,S,-,-,2,1998,1999,0,1,2,.333,6.91,9,9,0,1,1,0,43.0,58,33,33,10,10,0,29,2,0,2,196,82,brownma04
47,Justin Bruihl,-,-,-,1,2023,2023,0,0,0,,14.73,7,0,4,0,0,0,3.2,4,7,6,0,3,1,3,1,0,0,19,36,bruihju01
48,Taylor Buchholz,-,-,-,3,2007,2010,0,13,11,.542,3.44,111,8,27,0,0,1,170.0,160,75,65,15,44,6,126,4,2,8,702,139,buchhta01
49,John Burke,S,C,F,2,1996,1997,0,4,6,.400,6.75,28,9,4,0,0,0,74.2,104,59,56,16,33,0,58,7,0,5,363,77,burkejo04
50,Drew Butera,-,-,-,1,2020,2020,0,0,0,,5.40,1,0,1,0,0,0,1.2,3,1,1,0,0,0,1,0,0,0,8,112,buterdr01
51,Eddie Butler,S,-,-,3,2014,2016,0,6,16,.273,6.50,36,28,0,1,0,0,159.1,212,126,115,28,70,6,94,7,0,1,739,72,butleed01
52,Edwar Cabrera,S,C,F,1,2012,2012,0,0,2,.000,11.12,2,2,0,0,0,0,5.2,9,9,7,3,7,1,5,0,0,0,33,44,cabreed01
53,Blair Calvo,S,C,F,1,2023,2023,0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,calvobl01
54,José Capellán,-,-,F,1,2008,2008,0,0,0,,4.50,1,0,1,0,0,0,2.0,3,1,1,0,0,0,2,0,0,0,9,121,capeljo01
55,Matt Carasiti,S,-,F,3,2016,2024,0,2,1,.667,7.95,42,0,10,0,0,1,48.2,69,46,43,6,25,0,40,5,0,3,236,62,carasma01
56,Shane Carle,S,-,-,1,2017,2017,0,0,0,,6.75,3,0,3,0,0,0,4.0,6,3,3,1,0,0,4,0,0,1,19,80,carlesh01
57,Giovanni Carrara,-,-,-,1,2000,2000,0,0,1,.000,12.83,8,0,2,0,0,0,13.1,21,19,19,5,11,2,15,1,0,0,72,46,carragi01
58,Marcos Carvajal,S,-,-,1,2005,2005,0,0,2,.000,5.09,39,0,11,0,0,0,53.0,52,30,30,8,21,0,47,3,0,4,229,94,carvama01
59,Ryan Castellani,S,-,-,2,2020,2021,0,1,4,.200,5.79,11,10,0,0,0,0,46.2,42,32,30,13,30,0,27,6,0,1,206,90,castery01
